"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","i","Long","lat","from","to","party_area"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 07:23:41,FALSE,NA,"1215172271574306818",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","margarance",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 07:22:32,FALSE,NA,"1215171984608432129",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","curiocat13",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 07:20:47,FALSE,NA,"1215171542340030464",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","acyorke",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 06:24:12,FALSE,NA,"1215157305957933057",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","winssmith1984",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 06:17:33,FALSE,NA,"1215155631155556352",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BjornRusthall",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 06:14:13,FALSE,NA,"1215154790155595777",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SpanishDan1",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 06:10:44,FALSE,NA,"1215153916414976000",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","ChrisRaple",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 00:07:55,FALSE,NA,"1215062610720305153",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","CAdamMartin",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"@VotePursglove You and I both know that a managed, orderly #Brexit will not be achieved by the 31st January. There… https://t.co/tI5PzPTb1Q",FALSE,4,"VotePursglove",2020-01-09 18:25:00,TRUE,"1215329354651197441","1215338699426357254","1418358025","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","anfieldbhoy",0,FALSE,FALSE,NA,NA,2,52.3612129298,-0.727037826767,"2020-01-09","2020-01-10","Conservative"
"As we move on to a new and brighter future the EU Cartel panics over #Brexit 
https://t.co/5GwArC6U0s",FALSE,0,NA,2020-01-09 18:17:32,FALSE,NA,"1215336821481189377",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","roddytherobot",0,FALSE,FALSE,NA,NA,2,52.3612129298,-0.727037826767,"2020-01-09","2020-01-10","Conservative"
"#Brexit WA Act, now voting on 3rd reading. Labour will vote against Leaving. Result 330 for Brexit / 231 against Br… https://t.co/l7iWUKyoz8",FALSE,1,NA,2020-01-09 17:28:48,TRUE,NA,"1215324555436347393",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","roddytherobot",0,FALSE,FALSE,NA,NA,2,52.3612129298,-0.727037826767,"2020-01-09","2020-01-10","Conservative"
"Waiting for results of #Brexit WA 3rd reading. Gov benches quite full, Labour not so much!",FALSE,0,NA,2020-01-09 17:27:29,FALSE,NA,"1215324225768165377",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","roddytherobot",0,FALSE,FALSE,NA,NA,2,52.3612129298,-0.727037826767,"2020-01-09","2020-01-10","Conservative"
"#Brexit
The war of attrition is over, as rebellious windbags like Dominic Grieve have been replaced with scores of… https://t.co/9NsunCfWks",FALSE,0,NA,2020-01-09 17:26:41,TRUE,NA,"1215324025246887936",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","gilchristdm",0,FALSE,FALSE,NA,NA,2,52.3612129298,-0.727037826767,"2020-01-09","2020-01-10","Conservative"
"#Brexit WA Act SNP amendment fails 62 to 329 (Labour abstained) Now voting on 3rd reading",FALSE,0,NA,2020-01-09 17:12:02,FALSE,NA,"1215320335572185088",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","roddytherobot",0,FALSE,FALSE,NA,NA,2,52.3612129298,-0.727037826767,"2020-01-09","2020-01-10","Conservative"
"Corby info: just heard on BBC Parly channel. Voting on #Brexit WA bill 3rd reading today. @VotePursglove one of the… https://t.co/fVVKG1LmS5",FALSE,0,NA,2020-01-09 16:59:26,TRUE,NA,"1215317165110366208",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","roddytherobot",0,FALSE,FALSE,NA,NA,2,52.3612129298,-0.727037826767,"2020-01-09","2020-01-10","Conservative"
