"","lyrics","song","year","album","peak","us_pop","us_rnb","decade","chart_level","charted"
"21","well  well  well maybe  i will wantcha 2morrow  the most beautiful girl in the world  on the deep blue sea perhaps you noticed that i never look you in the eye i am just afraid that i might die of my love for you i wanna kiss you but baby  i dare not try or my dreams most surely will come true so that why please do not hold my hand  cuz i will   sure understand and kill the other boys in the band who want you 2morrow  2morrow they can not tap it  not 2morrow  the most beautiful girl in the world  you are mine 2morrow on a deep blue sea  i wanna be swept away with you  i could pass the time of every night and every day  all time  never remembering the songs to sing let alone what notes to play i am gonna die of my love for you  baby stay with me tonight  my dear but please do not hold me tight  cuz i fear my heart just might feel joy instead of sorrow 2morrow i do not wanna be happy  not 2morrow  not 2morrow   the most beautiful girl in the world  i would rather cry 2morrow 2morrow is the day i say after today that you and i can play like we wanna with undergarments thrown  the seed can be sown slippery in the sauna  oh  if i could just look you in the eye but baby  i dare not try  cuz then my dreams will surely come true  all time  please do not hold my hand  cuz i will   sure understand and kill the other boys in the band who want you 2morrow  2morrow 2morrow  the most beautiful girl in the world   the most beautiful girl in the world ","2morrow",1998,"Crystal Ball",NA,NA,NA,"1990s","Uncharted","Uncharted"
"22","2nite happy people in the disco light dancin  sexy  cause the music right put your arm around me and hold me tight there no tomorrow  there just 2nite  2nite worked so hard all through the week i just wanna get off your feet hit me back at a quarter to nine we can jam and have a real good time 2nite no guns or drugs up in the place old school jams put a smile on your face 2nite no top forty  no one of that junk i know this dope spot that just plays funk you know this jam is sure to move the crowd everybody dancin   no posin  allowed 2nite  2nite note to self must avoid broke back busters unemployed brothers who call me shawty in the pickup line and all those who only got one thing on their mind happy people in the disco light dancin  sexy  cause the music right put your arm around me and hold me tight there no tomorrow there just 2nite  2nite  2nite belinda  bianca  me and you we can party like grownup folks do come correct and i will give you a chance do not ask me for my number just ask me to dance  2nite  2nite 2nite  2nite shake your flip side and feel the beat wake up the next day in the palazzo suites lay out  til noon in the desert sun do not get mad  cause we havin  fun if we gonna party let party right no yesterday just remember 2nite  2nite","2nite",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"23","if i do not think about the fact that she left me if i do not see the pearls fall from the sky if i do not hear the accusations of blasphemy if i do not feel the tears in my eyes this is the best day of my life you say you will call me and then you do not i want to kiss you and then i will not we both do nothing and call it love is this love   is this love  this morning i wanted a cup of coffee but i did not have any   last night i wanted some inspiration but i did not have any dreams coupled with the fact that you belong to another whose name is self righteousness so evil girl  if one of us has a date with the undertaker  which one will it be  you can cry forever  but you will get no sympathy this is the best day of my life i have got 3 chains o  gold and they will shine forever they are the nucleus of my soul melt down  no  they will never i have got 3 chains o  gold and they will shine  forever they are the nucleus of my soul melt down  no  they will never give back the chains if you do not you will die nothing should come between you and i 3 chains o  gold they will shine  forever if one of us has to go you will go before me if one of us has to go you will go before me you will go before me  baby  cause i show  enough say you will 3 chains o  gold you will go before me you will go before me you will go before me you will go before me 3 chains o  gold they gonna shine forever  forever  forever 3 chains o  gold","3 chains o gold",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"24","using a special code  he accessed his mind in search of the reason why in passion and fashion he began travelin  time 3rd eye  3rd eye  3rd eye the serpent approves then appears between adam thighs and he tries to release upon eve  the nectar the injector tries  he tries  he tries  he tries so  abduction complete  all stand on their feet look at one another and cry what have we done  could this be the fun on the dotted line for which i did sign  oh  yeah i resign from the notion  cuz yours was the potion that i am supposed to die  for i resign in self pity so dark  this  ty and stark realization is all that will soothe ultimately the only one that can save you is you your god is inside and for that god you will do whatever it takes  if nothing else is true the only one that can save you is you  yeah","3rd eye",1998,"The Truth",NA,NA,NA,"1990s","Uncharted","Uncharted"
"25","long ago there was a man change stone to bread with the touch of his hand made the blind see and the dumb understand he died for the tears in your eyes  your eyes many people came from all around to hear this man preach  glorious sound he spoke of man in harmony and love abound he died for the tears in your eyes  your eyes your eyes  your eyes he died for the tears in your eyes for the tears in your eyes and the tears of sorrow four cents may be all that they are worth for the rising sun each day assures us the meek shall inherit the earth  the earth faith is a word  we all should try describing the man who willingly died believe that your hunger  sorrow and fears is less than the tears in your eyes  your eyes less than the tears in your eyes for the tears in your eyes and the tears of sorrow four cents may be all that they are worth for the rising sun each day assures us the meek shall inherit the earth say it again for the tears in your eyes and the tears of sorrow four cents may be all that they are worth for the rising sun each day assures us the meek shall inherit the earth  the earth","4 the tears in your eyes live",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"26","if i never get to hold your hand if i never get to be your man that okay   cause i have got other plans right now  right now if i never get to kiss your lips if i never get to feel your hips close to me that okay  i ai not gonna trip not now  no how  cause i have got 4ever  4ever eternity is just one kiss away so they say the opera just got all the fair cyprus  if i never get to take you swimming there if you never know how much i care i swear  it not fair  no if i never get to make you laugh if we never get to take a bubble bath see i do not wanna part with you  not tonight gonna be apart of my plans i just want  i just want listen  i just want 4ever oh  i just want 4ever eternity is just one kiss away what you say  4ever so many things we can do in the new world i can be your future lover you can be my future girl if i never get to see your smile underneath a white veil walking up the isle i just might go crazy  i might go wild so let me tell you baby stop lookin  at me like that unless you are wanting me to bite that 4ever  4ever eternity is just one kiss away what you say  4ever  4ever i do not want to kiss your lips till i get to  uh  your hips","4ever",2009,"LotusFlow3r",4,"35","4","2000s","Top 10","Charted"
"27","it took 5 women to getcha off of my mind it took 5 months  a plenty good wasted time but it just took 5 minutes when i saw your face again to fall in love all over  i guess with you i will never win march was a cold one in more ways than one went down to the nightclub lookin  for the sun lookin  for a light that could brighten up a day that been darker than a hole since you went away april usually brings showers  this time it was a hurtin  kind this woman said she wanted my baby i told her i would have to be deaf  dumb and blind to fall in love with someone that i barely knew baby would never really have a father  cuz i still   cuz i still   cuz i still  still  still be stuck on you  ooh it took 5 women to getcha off of my mind get off my mind  baby fallin  in love all over you  i will never win may was her name  she was jumpin  jumpin  from plane to plane actress or model or somethin  i can not even remember her first name june brought an easter bunny needless to say that girl was late told a made up story to a busy body of our only date what a sketch july was a heartbreak  extraordinary said i met this woman whose kiss was somethin  scary it felt so much  so much like yours but it only made me  made me want you more she gone  she gone but you are still here i want you very  it you i fear said it took 5 women  yes it did  to get you off my mind it took 5 months  5 months  a plenty good wasted time but it just took 5 minutes and i saw your face again i fell in love all over with you  i guess i will never win  i will never win","5 women",1999,"The Vaule … Old Friends 4 Sale",NA,NA,NA,"1990s","Uncharted","Uncharted"
"28","prince miscellaneous 9 lives 9   9   9   9   9 lives  this is the 90 and i need a lover with  9 lives   with my bad self   if i really   sample repeats in song   i   i   i   i      9 lives   sing stella  chorus   if i really had 9 lives  i would want a lover that controlled my mind  someone who knows about the heavenly sin  how 2 kill with love again  again and again  when she calls me on the phone  she will ask if i am alone  standin  at my door lookin  mega fine  heck a pump body sayin  good time  when all the others talk plenty of jive  my lover talks about 9 lives  the first 2 promise i will die from the heat  generated from the moment that our eyes meet  chorus   with my bad self   life number 3 and number 4  are spent makin  love on the magic floor  it got no walls so all can see  the way real love is supposed 2 be  do not be ashamed  my lover said  then she says  mmm  i betcha i am mega jammin    life number 5  6 and 7  need u ask  go like heaven  chorus   with my bad self    control me   with my bad self  if i really had 9 lives  i would want a lover that controlled my mind  2 kill with love  we would never die  we would never long 4  we would never cry  if we live 4 havin  each other touch  it never 2 little  it never 2 much  play  with my bad self  with my  with my bad self  if i really had  if i really had  if i really had 9 lives  this is the 90  and everybody wants a lover  a life long lover with 9 lives   9 lives   this is the 90   chorus   repeat in bg   sing stella  call me up on the phone  i will be here all alone  i will be waitin  on u  baby  i will be waitin  on u and your 9 lives   silence","9 lives",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"29","i am a lonely painter  i live in a box of paints i used to be frightened by the devil and drawn to those who were not afraid remember when you told me that love was touching souls  well  surely you touched mine part of you pours out of me from time to time in these lines you are in my blood like holy wine you are so bitter and so sweet i could drink a case of you darling","a case of u",2002,"One Nite Alone",NA,NA,NA,"2000s","Uncharted","Uncharted"
"30","prince miscellaneous a love bizarre a b  a b c d  the moon up above  it shines down upon our skin  whispering words that s  of outrageous sin  we all want the stuff that found in our wildest dreams  it gets kinda rough in the back of our limousine  chorus   that what we are  we all want a love bizarre  that what we are  we all want a love bizarre  a strawberry mind  a body that built 4 2  a kiss on the spine  we do things we never do  come swallow the pride and joy of the ivory tower  we will dance on the roof  make love on a bed of flowers  chorus  the moon up above  it shines down upon our skin   it shines down    on    our    skin   whispering words that s  of outrageous sin   whispering words that s  of    s  of sin   we all want the stuff that found in our wildest dreams   we all want the stuff that found in our wildest    wildest dreams  yeah   it gets kinda rough in the back of our limousine  chorus  that what we are  we all want a love bizarre   a strawberry mind  a body that built 4 2  me and u   that what we are  we all want a love bizarre   a kiss on the spine  we do things we never do    yeah   chorus  x4   what we are  what we are  a love bizarre  x2   what we are  what we are   what we are  what we are   a love bizarre  a love bizarre   chorus  repeated    til end   yeah  yeah  yeah   ah yeah   x3 ","a love bizarre",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
